id,tree,target,Cre,source_area,L2/3,L4,L5,L6a,L6b
163,1,CP_8,Tac1,ILA,0.121384724,NA,0.830684328,0.043102541,0.004828407
103,1,CP_4,Tac1,PERI,0.138973824,NA,0.798103046,0.06292313,0
25,1,CP_1,Gad2,ACAd,0.13847443,NA,0.804816683,0.056503222,2.06E-04
128,1,CP_6,Gnb4,FRP,0.130200113,NA,0.825733748,0.044056156,9.98E-06
209,1,SNr,Pvalb,AId,0.006669527,NA,0.744410102,0.236554394,0.012365976
179,1,OT_9,Penk,ACAv,0.087499112,NA,0.652917342,0.248176638,0.011406908
72,1,CP_4,Gad2,ORBl,0.140263328,NA,0.586037312,0.266542364,0.007156996
208,1,SNr,Foxp2,PL,0.033850641,NA,0.731742454,0.231423944,0.002982961
217,1,SNr,Slc32a1,MOs,0.003855132,NA,0.804071391,0.190922447,0.00115103
120,1,CP_5,Gad2,RSPd,0.03886046,0,0.758355442,0.196685619,0.006098479
207,1,SNr,Foxp2,ORBl,0.049800332,NA,0.742604438,0.201589841,0.006005389
123,1,CP_6,Gnb4,ACAv,0.026364949,NA,0.756298939,0.204970859,0.012365253
149,1,CP_7,Penk,RSPagl,0.046710062,NA,0.734346326,0.218926246,1.74E-05
102,1,CP_4,Tac1,ORBl,0.043971732,NA,0.720318092,0.227749542,0.007960633
114,1,CP_5,Gad2,ORBl,0.079059044,NA,0.666438653,0.231630009,0.022872295
131,1,CP_6,Gnb4,ORBl,0.079874955,NA,0.670591305,0.236288849,0.013244891
39,1,CP_1,Gad2,RSPagl,0.031561622,NA,0.794440584,0.173997794,0
64,1,CP_3,Tac1,RSPd,0.0100132,0,0.827184158,0.162802642,0
203,1,SNr,Foxp2,AId,0.003195004,NA,0.827576104,0.165598851,0.003630041
218,1,SNr,Slc32a1,ORBl,0.006831871,NA,0.819473598,0.163065567,0.010628964
106,1,CP_5,Gad2,ACAv,0.011069963,NA,0.829989631,0.150301388,0.008639018
40,1,CP_1,Gad2,RSPd,0.024544679,0,0.813272075,0.162183246,0
119,1,CP_5,Gad2,RSPagl,0.00917283,NA,0.825184137,0.152764535,0.012878498
222,1,SNr,Slc32a1,RSPagl,0.0051967,NA,0.851185488,0.143617812,0
91,1,CP_4,Penk,RSPagl,1.04E-06,NA,0.86433582,0.135663145,0
215,1,SNr,Slc32a1,FRP,0.007678511,NA,0.849631884,0.14238892,3.01E-04
202,1,SNr,Foxp2,ACAd,0.003020311,NA,0.918728972,0.078250716,0
49,1,CP_2,Gad2,ORBl,0.123802632,NA,0.700208706,0.173432173,0.002556489
116,1,CP_5,Gad2,ORBvl,0.105369004,NA,0.733184503,0.159888071,0.001558423
46,1,CP_2,Gad2,FRP,0.022590842,NA,0.878780165,0.09862489,4.10E-06
98,1,CP_4,Tac1,ECT,0.109710512,NA,0.72549441,0.163757139,0.001037939
18,1,ACB,Sst,ILA,0.038464374,NA,0.864029756,0.095613201,0.001892669
